Entity properties name,Variable DCID,Variable observation date,Variable observation value,Variable properties name,Smoothed_Value
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-14,44,Air Quality Index,55.5
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-15,63,Air Quality Index,51.8
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-16,60,Air Quality Index,52.5
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-17,55,Air Quality Index,52.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-18,37,Air Quality Index,50.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-21,56,Air Quality Index,42.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-23,55,Air Quality Index,36.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-24,29,Air Quality Index,29.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-25,6,Air Quality Index,26.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-26,16,Air Quality Index,19.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-27,6,Air Quality Index,13.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-02-28,19,Air Quality Index,10.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-01,6,Air Quality Index,13.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-02,13,Air Quality Index,14.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-03,10,Air Quality Index,16
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-04,22,Air Quality Index,17
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-05,27,Air Quality Index,19
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-06,15,Air Quality Index,18.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-07,26,Air Quality Index,21.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-08,20,Air Quality Index,26.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-09,10,Air Quality Index,27.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-10,31,Air Quality Index,33
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-11,59,Air Quality Index,34.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-12,30,Air Quality Index,36.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-13,55,Air Quality Index,41.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-14,37,Air Quality Index,40
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-15,31,Air Quality Index,33.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-16,50,Air Quality Index,32
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-17,18,Air Quality Index,25.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-18,15,Air Quality Index,21.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-19,18,Air Quality Index,19.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-20,7,Air Quality Index,18.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-21,10,Air Quality Index,21.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-22,19,Air Quality Index,22.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-23,41,Air Quality Index,21.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-24,42,Air Quality Index,20.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-25,19,Air Quality Index,22.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-26,10,Air Quality Index,20.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-27,5,Air Quality Index,18.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-28,23,Air Quality Index,16.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-29,6,Air Quality Index,19.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-30,22,Air Quality Index,21
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-03-31,31,Air Quality Index,21.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-01,42,Air Quality Index,19.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-02,18,Air Quality Index,19.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-03,7,Air Quality Index,18
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-04,10,Air Quality Index,15
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-05,6,Air Quality Index,10.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-06,12,Air Quality Index,10.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-07,10,Air Quality Index,13.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-08,11,Air Quality Index,16.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-09,18,Air Quality Index,19.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-10,26,Air Quality Index,23.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-11,32,Air Quality Index,26.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-12,26,Air Quality Index,29.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-13,42,Air Quality Index,27.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-14,31,Air Quality Index,25.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-15,30,Air Quality Index,23.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-16,8,Air Quality Index,24.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-17,8,Air Quality Index,22.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-04-18,19,Air Quality Index,20.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-01,33,Air Quality Index,19.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-02,29,Air Quality Index,20.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-04,19,Air Quality Index,21.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-05,23,Air Quality Index,19.5714285714286
