"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-14","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",44,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-15","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",63,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-16","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",60,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-17","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",55,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-18","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",37,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-19","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",117,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-20","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",77,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-21","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",56,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-22","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",143,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-23","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",55,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-24","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",29,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-25","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",6,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-26","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",16,"Air Quality Index"
"geoId/02110","","Juneau City and Borough","AirQualityIndex_AirPollutant","1986-02-27","EPAAirQualityIndex","https://aqs.epa.gov/aqsweb/airdata/download_files.html","","","",6,"Air Quality Index"
