ship_name,slice_time,lon,lat,hdg,sog,cog,draught,status
1,2024/02/21 17:00,3.134935,51.397048,287,14.1,292.9,10.7,0
1,2024/02/21 20:00,2.210318,51.475937,38,21.8,38.5,10.7,0
1,2024/02/21 23:00,2.966667,52.505,30,20,30,10.7,0
1,2024/02/22 02:00,3.586667,53.296667,24,19,24,10.7,0
1,2024/02/22 05:00,4.648333,54.03,19,19,19,10.7,0
1,2024/02/22 08:00,4.482763,54.931377,352,19.1,353,10.7,0
1,2024/02/22 11:00,4.128475,55.863078,336,19,337.3,10.7,0
1,2024/02/22 14:00,3.92018,56.794907,3,19.4,3.4,10.7,0
1,2024/02/22 17:00,4.03572,57.759254,2,19.3,3.3,10.7,0
1,2024/02/22 20:00,4.158142,58.730192,4,20.2,3.6,10.7,0
1,2024/02/22 23:00,4.233283,59.71485,357,20.3,356.2,10.7,0
1,2024/02/23 02:00,4.190048,60.66181,0,19.3,359.5,10.7,0
1,2024/02/29 05:00,72.459268,71.433295,14,14.4,15,10.7,0
1,2024/02/29 08:00,73.096667,72.128333,20,14,20,10.7,0
1,2024/02/29 11:00,73.583525,72.6787,299,12.4,297.9,12,0
1,2024/02/29 14:00,72.61305,73.334922,3,12.4,3.7,12,0
1,2024/02/29 17:00,71.331667,73.828333,300,13,300,12,0
1,2024/02/29 20:00,69.228827,73.63368,209,14.2,208.7,12,0
1,2024/02/29 23:00,68.510615,73.114322,208,1.5,198.3,12,0
1,2024/03/01 02:00,67.851667,72.68,198,11,198,12,0
1,2024/03/01 05:00,66.514135,72.160562,239,10.8,239.1,12,0
1,2024/03/01 08:00,64.758333,71.756667,230,11,230,12,0
1,2024/03/01 11:00,63.465497,71.408818,234,14.6,235.3,12,0
1,2024/03/01 14:00,61.588333,71.136667,250,13,250,12,0
1,2024/03/01 17:00,59.316667,70.878333,250,15,250,12,0
1,2024/03/01 20:00,58.019252,70.518998,217,12.9,220.7,12,0
1,2024/03/01 23:00,57.102555,70.15985,260,13.3,260.6,12,0
1,2024/03/02 02:00,54.945,70.196667,292,14,292,12,0
1,2024/03/02 05:00,52.961667,70.403333,289,15,289,12,0
1,2024/03/02 08:00,50.438333,70.696667,290,16,290,12,0
1,2024/03/02 11:00,48.273965,70.934513,281,17.7,282.3,12,0
1,2024/03/02 14:00,45.597998,71.138607,282,17.8,283.5,12,0
1,2024/03/02 17:00,42.753333,71.335,278,17,278,12,0
1,2024/03/02 20:00,40.422385,71.421813,275,17.5,276.3,12,0
1,2024/03/02 23:00,37.602153,71.522773,277,17.9,277.5,12,0
1,2024/03/03 02:00,34.845,71.616667,272,18,272,12,0
1,2024/03/03 05:00,31.874632,71.650958,271,18,271.9,12,0
1,2024/03/03 08:00,29.070842,71.670235,265,18.5,262.1,12,0
1,2024/03/03 11:00,26.220718,71.721898,285,18.2,279.6,12,0
1,2024/03/03 14:00,23.348387,71.579117,263,17.8,264.2,12,0
1,2024/03/03 17:00,20.681787,71.318478,245,18.4,242.2,12,0
1,2024/03/09 02:00,3.211532,51.347285,272,2.8,247.9,12,0
1,2024/03/09 05:00,2.145212,51.383645,329,16.5,321.4,10.6,0
1,2024/03/09 08:00,2.655193,52.10862,13,18.2,6.6,10.6,0
1,2024/03/09 11:00,3.378333,52.928333,18,18,18,10.6,0
1,2024/03/09 14:00,4.09,53.641667,50,16,50,10.6,0
1,2024/03/09 17:00,4.621667,54.296667,350,16,350,10.6,0
1,2024/03/09 20:00,4.36,55.15,350,16,350,10.6,0
1,2024/03/09 23:00,4.080923,55.922987,339,16.8,337.4,10.6,0
1,2024/03/10 02:00,3.912492,56.718148,7,16.4,2.8,10.6,0
1,2024/03/10 05:00,3.991667,57.495,7,14,7,10.6,0
1,2024/03/10 08:00,4.057885,58.22186,357,14.5,349,10.6,0
1,2024/03/10 11:00,3.865718,59.001967,0,16.6,359,10.6,0
1,2024/03/10 14:00,4.188148,59.862918,357,17.9,359,10.6,0
1,2024/03/10 17:00,4.187337,60.764095,356,17.3,357.3,10.6,0
1,2024/03/10 20:00,4.187603,61.674538,359,16.8,1.1,10.6,0
1,2024/03/10 23:00,4.21151,62.478938,0,17.2,358.9,10.6,0
1,2024/03/11 02:00,4.639912,63.323062,22,16.9,22.2,10.6,0
1,2024/03/29 11:00,-2.515288,47.056478,246,13.3,246.6,10.6,0
1,2024/03/29 14:00,-3.536937,47.097443,290,14.3,292.9,10.6,0
1,2024/03/29 17:00,-4.53,47.441667,301,16,301,10,0
1,2024/03/29 20:00,-5.488333,47.915,336,17,336,10,0
1,2024/03/29 23:00,-5.671667,48.743333,28,19,28,10.6,0
1,2024/03/30 02:00,-4.391977,49.250357,60,20.3,61.3,10,0
1,2024/03/30 05:00,-3.074072,49.74884,57,19.9,58.8,10.6,0
1,2024/03/30 08:00,-1.590375,50.04225,70,19.8,72.3,10.6,0
1,2024/03/30 11:00,-0.23109,50.279732,74,16.6,74.5,10.6,0
1,2024/03/30 14:00,1.01773,50.521042,51,16.9,51.1,10.6,0
1,2024/03/30 17:00,1.838727,51.128373,57,15.5,57.4,10.6,0
1,2024/03/30 20:00,2.503888,51.713575,38,16.2,40.3,10.6,0
1,2024/03/30 23:00,2.986667,52.503333,27,18,27,10,0
1,2024/03/31 02:00,3.641717,53.347713,25,18.5,23.9,10,0
